datetime,ask,bid
10.01.2021 00:45:46.434,14738.903,14735.999
10.01.2021 00:45:46.484,14739.261,14735.739
10.01.2021 00:45:47.369,14739.003,14735.739
10.01.2021 00:45:47.420,14739.051000000001,14735.548999999999
10.01.2021 00:45:49.204,14739.023000000001,14735.698999999999
10.01.2021 00:45:49.254,14739.111,14735.618999999999
10.01.2021 00:45:50.382,14739.123,14735.819
10.01.2021 00:45:50.433,14739.011,14735.999
10.01.2021 00:45:51.811,14739.091,14735.639
10.01.2021 00:45:52.802,14739.061000000002,14735.559
10.01.2021 00:45:52.945,14738.813,14735.698999999999
10.01.2021 00:45:52.995,14739.101,14735.649
10.01.2021 00:45:54.243,14739.041000000001,14735.707
10.01.2021 00:45:54.293,14738.811000000002,14735.618999999999
10.01.2021 00:45:54.452,14739.141000000001,14735.688999999998
10.01.2021 00:45:56.102,14739.281,14735.719
10.01.2021 00:45:56.432,14739.561000000002,14736.098999999998
10.01.2021 00:45:56.868,14739.261,14735.809
10.01.2021 00:45:56.918,14739.251,14735.778999999999
10.01.2021 00:45:57.029,14739.183,14735.778999999999
10.01.2021 00:45:57.079,14739.101,14735.669
10.01.2021 00:45:57.188,14738.913,14735.819
10.01.2021 00:45:57.238,14739.371000000001,14735.909
10.01.2021 00:45:57.508,14739.191,14735.817
10.01.2021 00:45:57.559,14739.291000000001,14735.749
10.01.2021 00:45:58.813,14739.263,14735.889
10.01.2021 00:45:58.864,14739.301000000001,14735.909
10.01.2021 00:45:59.732,14739.281,14735.809
10.01.2021 00:45:59.861,14739.021,14735.716999999999
10.01.2021 00:45:59.911,14738.981000000002,14735.608999999999
10.01.2021 00:46:01.095,14738.841,14735.589
10.01.2021 00:46:01.145,14738.891000000001,14735.329
10.01.2021 00:46:01.256,14738.613000000001,14735.598999999998
10.01.2021 00:46:01.307,14739.091,14735.528999999999
10.01.2021 00:46:01.418,14738.801000000001,14735.527
10.01.2021 00:46:01.468,14738.861,14735.419
10.01.2021 00:46:02.228,14738.401000000002,14735.219
10.01.2021 00:46:02.279,14738.601,14735.198999999999
10.01.2021 00:46:02.392,14738.541000000001,14735.136999999999
10.01.2021 00:46:02.442,14738.551000000001,14735.118999999999
10.01.2021 00:46:03.127,14738.351,14735.037
10.01.2021 00:46:03.178,14738.381000000001,14734.909
10.01.2021 00:46:03.280,14738.363000000001,14735.028999999999
10.01.2021 00:46:03.330,14738.581,14735.018999999998
10.01.2021 00:46:06.688,14738.371000000001,14735.077
10.01.2021 00:46:06.738,14738.321000000002,14735.098999999998
10.01.2021 00:46:08.350,14738.313,14735.089
10.01.2021 00:46:08.400,14738.521,14735.089
10.01.2021 00:46:09.002,14738.371000000001,14735.087
10.01.2021 00:46:09.052,14738.331,14734.809
10.01.2021 00:46:09.966,14738.231000000002,14734.999
10.01.2021 00:46:10.553,14737.741000000002,14734.278999999999
10.01.2021 00:46:10.603,14737.711000000001,14734.288999999999
10.01.2021 00:46:11.623,14737.591,14734.296999999999
10.01.2021 00:46:11.673,14737.641000000001,14734.399
10.01.2021 00:46:11.783,14737.403,14734.499
10.01.2021 00:46:11.833,14737.771,14734.278999999999
10.01.2021 00:46:12.849,14737.651000000002,14734.267
10.01.2021 00:46:12.899,14737.631000000001,14734.389
10.01.2021 00:46:13.010,14737.321000000002,14733.909
10.01.2021 00:46:13.060,14737.281,14733.839
10.01.2021 00:46:13.616,14736.871000000001,14733.319
10.01.2021 00:46:13.667,14736.851,14733.378999999999
10.01.2021 00:46:13.932,14736.833,14733.598999999998
10.01.2021 00:46:13.983,14736.991000000002,14733.538999999999
10.01.2021 00:46:14.284,14736.821000000002,14733.537
10.01.2021 00:46:14.335,14736.871000000001,14733.368999999999
10.01.2021 00:46:16.145,14736.781,14733.386999999999
10.01.2021 00:46:16.196,14736.771,14733.499
10.01.2021 00:46:16.306,14736.641000000001,14733.226999999999
10.01.2021 00:46:16.356,14736.601,14733.188999999998
10.01.2021 00:46:16.478,14736.581,14733.306999999999
10.01.2021 00:46:16.528,14736.851,14733.339
10.01.2021 00:46:18.630,14736.761,14733.499
